Time [hr], Date, NAE
0,2016/10/1 0:00:00,1
1,2016/10/1 1:00:00,1
2,2016/10/1 2:00:00,0
3,2016/10/1 3:00:00,0
4,2016/10/1 4:00:00,1
5,2016/10/1 5:00:00,3
6,2016/10/1 6:00:00,2
7,2016/10/1 7:00:00,0
8,2016/10/1 8:00:00,2
9,2016/10/1 9:00:00,1
10,2016/10/1 10:00:00,1
11,2016/10/1 11:00:00,3
12,2016/10/1 12:00:00,1
13,2016/10/1 13:00:00,0
14,2016/10/1 14:00:00,3
15,2016/10/1 15:00:00,1
16,2016/10/1 16:00:00,2
17,2016/10/1 17:00:00,0
18,2016/10/1 18:00:00,1
19,2016/10/1 19:00:00,2
20,2016/10/1 20:00:00,0
21,2016/10/1 21:00:00,3
22,2016/10/1 22:00:00,8
23,2016/10/1 23:00:00,3
24,2016/10/2 0:00:00,1
25,2016/10/2 1:00:00,1
26,2016/10/2 2:00:00,0
27,2016/10/2 3:00:00,0
28,2016/10/2 4:00:00,1
29,2016/10/2 5:00:00,1
30,2016/10/2 6:00:00,1
31,2016/10/2 7:00:00,0
32,2016/10/2 8:00:00,3
33,2016/10/2 9:00:00,8
34,2016/10/2 10:00:00,30
35,2016/10/2 11:00:00,21
36,2016/10/2 12:00:00,23
37,2016/10/2 13:00:00,10
38,2016/10/2 14:00:00,11
39,2016/10/2 15:00:00,2
40,2016/10/2 16:00:00,2
41,2016/10/2 17:00:00,1
42,2016/10/2 18:00:00,0
43,2016/10/2 19:00:00,0
44,2016/10/2 20:00:00,0
45,2016/10/2 21:00:00,0
46,2016/10/2 22:00:00,0
47,2016/10/2 23:00:00,0
