Clock,2016/9/18,2016/9/19,2016/9/20,2016/9/21,2016/9/22,2016/9/23,2016/9/24,All,Average
0,1,0,0,1,0,0,0,2,1
1,3,3,0,0,0,0,0,6,3
2,0,0,0,2,0,0,1,3,1.5
3,1,3,0,0,0,0,0,4,2
4,2,0,0,0,0,0,0,2,2
5,1,0,0,1,0,0,0,2,1
6,3,0,0,0,1,0,1,5,1.666667
7,1,0,5,8,1,0,0,15,3.75
8,1,0,1,12,0,2,0,16,4
9,1,2,7,11,1,3,0,25,4.166667
10,4,0,1,48,0,0,0,53,17.66667
11,2,0,41,5,0,3,0,51,12.75
12,3,1,9,8,0,6,0,27,5.4
13,0,1,10,19,0,0,0,30,10
14,3,0,9,5,0,1,0,18,4.5
15,1,1,7,2,0,1,0,12,2.4
16,2,0,19,3,0,1,0,25,6.25
17,0,0,11,5,0,0,0,16,8
18,0,0,1,8,1,1,0,11,2.75
19,1,0,0,8,0,4,0,13,4.333333
20,3,0,0,3,0,1,0,7,2.333333
21,1,0,0,0,0,0,0,1,1
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,1,0,1,1
All,34,11,121,149,4,24,2
Average,1.888889,1.833333,10.08333,8.764706,1,2.181818,1
