Clock,2016/9/25,2016/9/26,2016/9/27,2016/9/28,2016/9/29,2016/9/30,2016/10/1,All,Average
0,0,0,9,3,3,6,,21,5.25
1,0,0,16,5,0,3,,24,8
2,0,0,13,1,1,2,,17,4.25
3,0,0,7,1,3,2,,13,3.25
4,0,0,9,5,3,0,,17,5.666667
5,0,0,11,1,4,3,,19,4.75
6,0,0,8,3,4,2,,17,4.25
7,0,17,12,61,3,29,,122,24.4
8,0,7,14,0,5,17,,43,10.75
9,0,137,11,0,2,18,,168,42
10,2,85,12,0,5,13,,117,23.4
11,0,75,21,0,2,35,,133,33.25
12,1,80,31,3,4,54,,173,28.83333
13,0,42,34,10,7,13,,106,21.2
14,0,24,24,5,13,4,,70,14
15,0,39,20,10,10,37,,116,23.2
16,0,17,12,28,7,550,,614,122.8
17,0,18,7,14,2,26,,67,13.4
18,0,52,5,9,3,12,,81,16.2
19,0,24,8,13,1,9,,55,11
20,0,55,6,8,4,3,,76,15.2
21,0,8,10,34,4,13,,69,13.8
22,0,14,7,1,1,,,23,5.75
23,1,20,3,3,2,,,29,5.8
All,4,714,310,218,93,851,0
Average,1.333333,42,12.91667,10.9,4.043478,40.52381,0
