Time, Date, Ch1, Ch2, NAE
3558299572,2016/10/3 0:32:52,40,17,0
3558302905,2016/10/3 1:28:25,66,18,0
3558304735,2016/10/3 1:58:55,16,55,0
3558307002,2016/10/3 2:36:42,20,1132,0
3558317672,2016/10/3 5:34:32,326,17,0
3558318579,2016/10/3 5:49:39,98,18,0
3558321081,2016/10/3 6:31:21,65,19,0
3558324075,2016/10/3 7:21:15,52,24,0
3558324078,2016/10/3 7:21:18,50,24,0
3558324080,2016/10/3 7:21:20,56,24,0
3558324780,2016/10/3 7:33:0,47,15,0
3558325476,2016/10/3 7:44:36,17,78,0
3558325479,2016/10/3 7:44:39,17,71,0
3558325962,2016/10/3 7:52:42,18,39,0
3558326021,2016/10/3 7:53:41,21,62,0
3558326022,2016/10/3 7:53:42,17,69,0
3558326078,2016/10/3 7:54:38,16,59,0
3558326107,2016/10/3 7:55:7,51,23,0
3558326114,2016/10/3 7:55:14,57,23,0
3558326331,2016/10/3 7:58:51,17,45,0
3558326625,2016/10/3 8:3:45,135,20,0
3558327198,2016/10/3 8:13:18,23,98,0
3558327219,2016/10/3 8:13:39,22,55,0
3558328636,2016/10/3 8:37:16,18,41,0
3558328638,2016/10/3 8:37:18,18,105,0
3558328902,2016/10/3 8:41:42,18,109,0
3558329545,2016/10/3 8:52:25,19,66,0
3558329548,2016/10/3 8:52:28,18,57,0
