Time, Date, Ch1, Ch2, NAE
3557868259,2016/9/28 0:44:19,17,46,0
3557877265,2016/9/28 3:14:25,51,20,0
3557877359,2016/9/28 3:15:59,59,18,0
3557877367,2016/9/28 3:16:7,50,19,0
3557878929,2016/9/28 3:42:9,17,37,0
3557882240,2016/9/28 4:37:20,17,66,0
3557883032,2016/9/28 4:50:32,58,17,0
3557883705,2016/9/28 5:1:45,57,18,0
3557883707,2016/9/28 5:1:47,53,17,0
3557885783,2016/9/28 5:36:23,704,17,0
3557886657,2016/9/28 5:50:57,259,17,0
3557886662,2016/9/28 5:51:2,43,16,0
3557890231,2016/9/28 6:50:31,19,66,0
3557890236,2016/9/28 6:50:36,19,184,0
3557891275,2016/9/28 7:7:55,50,24,0
3557891276,2016/9/28 7:7:56,76,25,0
3557891279,2016/9/28 7:7:59,94,25,0
3557891283,2016/9/28 7:8:3,45,21,0
3557891285,2016/9/28 7:8:5,70,22,0
3557891288,2016/9/28 7:8:8,51,23,0
3557891289,2016/9/28 7:8:9,54,25,0
3557891290,2016/9/28 7:8:10,45,20,0
3557891292,2016/9/28 7:8:12,48,19,0
3557891711,2016/9/28 7:15:11,18,70,0
3557891799,2016/9/28 7:16:39,17,53,0
3557891979,2016/9/28 7:19:39,18,47,0
3557891983,2016/9/28 7:19:43,21,84,0
3557893549,2016/9/28 7:45:49,51,20,0
3557911010,2016/9/28 12:36:50,21,59,0
3557911471,2016/9/28 12:44:31,54,23,0
3557911719,2016/9/28 12:48:39,58,17,0
3557911745,2016/9/28 12:49:5,20,66,0
3557911826,2016/9/28 12:50:26,49,17,0
3557912314,2016/9/28 12:58:34,39,15,0
3557912845,2016/9/28 13:7:25,40,18,0
3557912921,2016/9/28 13:8:41,42,18,0
3557913071,2016/9/28 13:11:11,45,16,0
3557913274,2016/9/28 13:14:34,43,16,0
3557913306,2016/9/28 13:15:6,1541,21,0
3557913311,2016/9/28 13:15:11,48,15,0
3557913327,2016/9/28 13:15:27,37,16,0
3557913334,2016/9/28 13:15:34,56,15,0
3557913635,2016/9/28 13:20:35,48,17,0
3557913705,2016/9/28 13:21:45,36,15,0
3557913714,2016/9/28 13:21:54,66,18,0
3557913780,2016/9/28 13:23:0,43,16,0
3557914260,2016/9/28 13:31:0,55,15,0
3557914386,2016/9/28 13:33:6,35,16,0
3557914995,2016/9/28 13:43:15,161,18,0
3557915360,2016/9/28 13:49:20,65,17,0
3557915909,2016/9/28 13:58:29,17,1375,0
3557916077,2016/9/28 14:1:17,16,54,0
3557916300,2016/9/28 14:5:0,23,53,0
3557916520,2016/9/28 14:8:40,23,56,0
3557916642,2016/9/28 14:10:42,19,58,0
3557916707,2016/9/28 14:11:47,16,68,0
3557917022,2016/9/28 14:17:2,19,52,0
3557917289,2016/9/28 14:21:29,18,57,0
3557917376,2016/9/28 14:22:56,15,53,0
3557917391,2016/9/28 14:23:11,2499,14,0
3557918106,2016/9/28 14:35:6,52,16,0
3557918597,2016/9/28 14:43:17,50,18,0
3557918657,2016/9/28 14:44:17,16,1461,0
3557918900,2016/9/28 14:48:20,24,64,0
3557918938,2016/9/28 14:48:58,54,17,0
3557918957,2016/9/28 14:49:17,44,17,0
3557918975,2016/9/28 14:49:35,44,16,0
3557919005,2016/9/28 14:50:5,47,18,0
3557919043,2016/9/28 14:50:43,34,17,0
3557919054,2016/9/28 14:50:54,19,141,0
3557919070,2016/9/28 14:51:10,43,16,0
3557919095,2016/9/28 14:51:35,54,14,0
3557919125,2016/9/28 14:52:5,46,16,0
3557919126,2016/9/28 14:52:6,50,16,0
3557919141,2016/9/28 14:52:21,52,19,0
3557919185,2016/9/28 14:53:5,40,15,0
3557919207,2016/9/28 14:53:27,34,15,0
3557919215,2016/9/28 14:53:35,38,16,0
3557919336,2016/9/28 14:55:36,803,16,0
3557919360,2016/9/28 14:56:0,19,133,0
3557919404,2016/9/28 14:56:44,41,17,0
3557919425,2016/9/28 14:57:5,49,15,0
3557919464,2016/9/28 14:57:44,60,15,0
3557919485,2016/9/28 14:58:5,41,14,0
3557919501,2016/9/28 14:58:21,41,18,0
3557919628,2016/9/28 15:0:28,16,81,0
3557919672,2016/9/28 15:1:12,17,571,0
3557919686,2016/9/28 15:1:26,18,101,0
3557919687,2016/9/28 15:1:27,16,137,0
3557920088,2016/9/28 15:8:8,21,49,0
3557920228,2016/9/28 15:10:28,17,56,0
3557921134,2016/9/28 15:25:34,42,18,0
3557921148,2016/9/28 15:25:48,57,14,0
3557921582,2016/9/28 15:33:2,48,19,0
3557921603,2016/9/28 15:33:23,18,144,0
3557921811,2016/9/28 15:36:51,33,16,0
3557921825,2016/9/28 15:37:5,52,18,0
3557921852,2016/9/28 15:37:32,50,17,0
3557921855,2016/9/28 15:37:35,56,17,0
3557921857,2016/9/28 15:37:37,38,16,0
3557921861,2016/9/28 15:37:41,45,15,0
3557921871,2016/9/28 15:37:51,54,16,0
3557921885,2016/9/28 15:38:5,46,19,0
3557922058,2016/9/28 15:40:58,18,160,0
3557922152,2016/9/28 15:42:32,65,20,0
3557922155,2016/9/28 15:42:35,45,17,0
3557922172,2016/9/28 15:42:52,49,19,0
3557922185,2016/9/28 15:43:5,47,17,0
3557922209,2016/9/28 15:43:29,40,20,0
3557922214,2016/9/28 15:43:34,62,16,0
3557922232,2016/9/28 15:43:52,61,16,0
3557922237,2016/9/28 15:43:57,45,16,0
3557922244,2016/9/28 15:44:4,70,25,0
3557922275,2016/9/28 15:44:35,36,16,0
3557922335,2016/9/28 15:45:35,54,17,0
3557922353,2016/9/28 15:45:53,51,18,0
3557922365,2016/9/28 15:46:5,54,18,0
3557922382,2016/9/28 15:46:22,38,18,0
3557922396,2016/9/28 15:46:36,20,270,0
3557922410,2016/9/28 15:46:50,47,19,0
3557922413,2016/9/28 15:46:53,59,18,0
3557922425,2016/9/28 15:47:5,36,16,0
3557922437,2016/9/28 15:47:17,51,20,0
3557922452,2016/9/28 15:47:32,40,14,0
3557922455,2016/9/28 15:47:35,41,19,0
3557922457,2016/9/28 15:47:37,46,19,0
3557922485,2016/9/28 15:48:5,49,18,0
3557922515,2016/9/28 15:48:35,37,17,0
3557922532,2016/9/28 15:48:52,42,15,0
3557922544,2016/9/28 15:49:4,39,17,0
3557922552,2016/9/28 15:49:12,39,18,0
3557922556,2016/9/28 15:49:16,49,20,0
3557922592,2016/9/28 15:49:52,56,15,0
3557922597,2016/9/28 15:49:57,38,18,0
3557922604,2016/9/28 15:50:4,39,18,0
3557922784,2016/9/28 15:53:4,62,16,0
3557922814,2016/9/28 15:53:34,44,17,0
3557922834,2016/9/28 15:53:54,52,19,0
3557922845,2016/9/28 15:54:5,61,18,0
3557922894,2016/9/28 15:54:54,39,17,0
3557922905,2016/9/28 15:55:5,46,17,0
3557922908,2016/9/28 15:55:8,229,15,0
3557922918,2016/9/28 15:55:18,32,16,0
3557922954,2016/9/28 15:55:54,39,16,0
3557922965,2016/9/28 15:56:5,59,17,0
3557922967,2016/9/28 15:56:7,50,17,0
3557923075,2016/9/28 15:57:55,47,17,0
3557923085,2016/9/28 15:58:5,43,15,0
3557923173,2016/9/28 15:59:33,63,16,0
