Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,7.6,0,0,0
1,0,0,0,0,0,0,0,0,11,0,0,0
2,0,0,0,0,0,0,0,0,10,0,0,0
3,0,0,0,0,0,0,0,0,7.4,0,0,0
4,0,0,0,0,0,0,0,0,8.8,0,0,0
5,0,0,0,0,0,0,0,0,8.6,0,0,0
6,0,0,0,0,0,0,0,0,6.6,0,0,0
7,0,0,0,0,0,0,0,0,9.4,0,0,0
8,0,0,0,0,0,0,0,0,5.2,0,0,0
9,0,0,0,0,0,0,0,0,9,0,0,0
10,0,0,0,0,0,0,0,0,9.2,0,0,0
11,0,0,0,0,0,0,0,0,6.4,0,0,0
12,0,0,0,0,0,0,0,0,5.333333,0,0,0
13,0,0,0,0,0,0,0,0,7.666667,0,0,0
14,0,0,0,0,0,0,0,0,4.833333,0,0,0
15,0,0,0,0,0,0,0,0,3.5,0,0,0
16,0,0,0,0,0,0,0,0,31.16667,0,0,0
17,0,0,0,0,0,0,0,0,37.16667,0,0,0
18,0,0,0,0,0,0,0,0,7.5,0,0,0
19,0,0,0,0,0,0,0,0,12.66667,0,0,0
20,0,0,0,0,0,0,0,0,13.83333,0,0,0
21,0,0,0,0,0,0,0,0,10.83333,0,0,0
22,0,0,0,0,0,0,0,0,10.6,0,0,0
23,0,0,0,0,0,0,0,0,11.8,0,0,0
