Clock,2016/9/11,2016/9/12,2016/9/13,2016/9/14,2016/9/15,2016/9/16,2016/9/17,Average
0,0.98,0.98,0.98,,,,,0.98
1,0.98,0.98,0.98,,,,,0.98
2,0.98,0.98,0.98,,,,,0.98
3,0.98,0.98,0.98,,,,,0.98
4,0.98,0.98,0.98,,,,,0.98
5,0.98,0.98,0.98,,,,,0.98
6,0.98,0.98,0.98,,,,,0.98
7,158.04,0,305.5017,,,,,231.7708
8,977.9442,0,2877.115,,,,,1927.53
9,1312.824,0,7261.796,,,,,4287.31
10,431.885,2425.889,0,,,,,1428.887
11,1218.837,3001.951,0,,,,,2110.394
12,2583.657,3002.034,0,,,,,2792.846
13,3609.211,3223.711,0,,,,,3416.461
14,3525.063,6562.335,0,,,,,5043.699
15,2472.128,6752.357,0,,,,,4612.243
16,1151.611,8257.32,0,,,,,4704.465
17,1050.128,1406.174,0,,,,,1228.151
18,1319.824,1643.066,0,,,,,1481.445
19,644.9375,667.48,0,,,,,656.2088
20,2.281667,2.606667,0,,,,,2.444167
21,0.98,0.98,0,,,,,0.98
22,0.98,0.98,0,,,,,0.98
23,0.98,0.98,0,,,,,0.98
All,20468.17,36954.72,10451.27,0,0,0,0
Average,852.8406,1759.749,1045.127,0,0,0,0
