Clock,2016/9/25,2016/9/26,2016/9/27,2016/9/28,2016/9/29,2016/9/30,2016/10/1,All,Average
0,1005.856,1002.871,989.55,999.1225,0,0,1009.6,5006.999,1001.4
1,1005.854,1002.498,987.975,999.2058,0,0,1008.532,5004.066,1000.813
2,1005.247,1001.746,986.1527,999.2767,0,0,1008.352,5000.775,1000.155
3,1005.001,1001.405,985.2458,999.5591,0,0,1008.355,4999.566,999.9132
4,1004.256,1000.365,983.5558,999.7792,0,0,0,3987.956,996.989
5,1004.429,1000.461,982.535,1000.516,0,0,0,3987.941,996.9852
6,1004.65,1000.416,981.1325,1000.82,0,0,0,3987.018,996.7546
7,1005.607,1000.167,981.1167,1001.202,0,0,0,3988.092,997.0229
8,1006.203,1000.678,981.6808,1001.83,0,0,0,3990.392,997.5979
9,1007.103,1000.73,982.1118,1003.173,0,0,0,3993.117,998.2792
10,1007.268,1000.498,983.195,1003.473,0,1008.133,0,5002.568,1000.514
11,1006.958,999.4315,984.7617,1003.548,0,1008.233,0,5002.933,1000.587
12,1005.78,998.2333,986.6992,1003.407,0,1007.268,0,5001.387,1000.277
13,1004.827,996.8342,988.0717,1002.778,0,1006.595,0,4999.106,999.8211
14,1003.849,996.2825,988.8775,1002.023,0,1006.365,,4997.398,999.4795
15,1003.7,995.1983,989.57,1001.853,0,1005.893,,4996.214,999.2428
16,1003.823,994.2667,991.4125,1001.124,0,1006.123,,4996.749,999.3498
17,1003.833,993.5825,991.9392,1001.13,0,1006.362,,4996.847,999.3693
18,1003.44,993.15,993.2408,0,0,1006.964,,3996.795,999.1988
19,1003.973,993.2467,994.675,0,0,1007.366,,3999.261,999.8152
20,1004.748,992.7675,995.5636,0,0,1008.182,,4001.261,1000.315
21,1004.973,992.5875,997.035,0,0,1008.588,,4003.183,1000.796
22,1004.251,992.2933,998.34,0,0,1009.125,,4004.009,1001.002
23,1003.532,990.7658,998.81,0,0,1009.581,,4002.688,1000.672
All,24119.16,23940.47,23723.25,18023.82,0,14104.78,4034.84
Average,1004.965,997.5198,988.4686,1001.323,0,1007.484,1008.71
