Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,5.310864,8.739805,0,0
1,0,0,0,0,0,0,0,0,5.848095,8.905548,0,0
2,0,0,0,0,0,0,0,0,5.827682,8.825391,0,0
3,0,0,0,0,0,0,0,0,5.794977,8.695457,0,0
4,0,0,0,0,0,0,0,0,5.770616,8.607889,0,0
5,0,0,0,0,0,0,0,0,5.741692,8.509852,0,0
6,0,0,0,0,0,0,0,0,5.783402,8.55571,0,0
7,0,0,0,0,0,0,0,0,5.966322,9.059947,0,0
8,0,0,0,0,0,0,0,0,6.266808,9.770735,0,0
9,0,0,0,0,0,0,0,0,-2.076880e+6,10.99247,0,0
10,0,0,0,0,0,0,0,0,-1.952114e+6,12.89294,0,0
11,0,0,0,0,0,0,0,0,7.938443,13.12124,0,0
12,0,0,0,0,0,0,0,0,7.969351,16.72473,0,0
13,0,0,0,0,0,0,0,0,8.431015,14.63834,0,0
14,0,0,0,0,0,0,0,0,8.103188,13.54966,0,0
15,0,0,0,0,0,0,0,0,7.543129,12.2609,0,0
16,0,0,0,0,0,0,0,0,7.780323,11.29658,0,0
17,0,0,0,0,0,0,0,0,7.496843,10.57001,0,0
18,0,0,0,0,0,0,0,0,-1.952744e+6,10.05942,0,0
19,0,0,0,0,0,0,0,0,7.08225,9.774023,0,0
20,0,0,0,0,0,0,0,0,6.363262,9.6163,0,0
21,0,0,0,0,0,0,0,0,6.244503,9.353119,0,0
22,0,0,0,0,0,0,0,0,6.158619,9.119951,0,0
23,0,0,0,0,0,0,0,0,6.074555,9.011486,0,0
