Time, Date, Ch1, Ch2, NAE
3556193454,2016/9/8 15:30:54,20,194,0
3556193455,2016/9/8 15:30:55,17,189,0
3556193456,2016/9/8 15:30:56,18,174,0
3556193457,2016/9/8 15:30:57,15,193,0
3556193458,2016/9/8 15:30:58,17,221,0
3556193459,2016/9/8 15:30:59,19,193,0
3556193460,2016/9/8 15:31:0,14,191,0
3556193480,2016/9/8 15:31:20,18,208,0
3556193481,2016/9/8 15:31:21,17,194,0
3556193482,2016/9/8 15:31:22,18,194,0
3556193483,2016/9/8 15:31:23,16,189,0
3556193484,2016/9/8 15:31:24,20,199,0
3556193485,2016/9/8 15:31:25,18,187,0
3556193486,2016/9/8 15:31:26,16,193,0
3556193487,2016/9/8 15:31:27,16,191,0
3556193488,2016/9/8 15:31:28,18,199,0
3556193489,2016/9/8 15:31:29,17,204,0
3556193490,2016/9/8 15:31:30,16,200,0
3556193491,2016/9/8 15:31:31,18,202,0
3556193492,2016/9/8 15:31:32,15,208,0
3556193493,2016/9/8 15:31:33,19,207,0
3556193494,2016/9/8 15:31:34,17,201,0
3556193495,2016/9/8 15:31:35,20,199,0
3556193496,2016/9/8 15:31:36,17,213,0
3556193497,2016/9/8 15:31:37,16,208,0
3556193498,2016/9/8 15:31:38,19,208,0
3556193499,2016/9/8 15:31:39,19,206,0
3556193500,2016/9/8 15:31:40,19,212,0
3556193501,2016/9/8 15:31:41,19,214,0
3556193502,2016/9/8 15:31:42,18,224,0
3556193503,2016/9/8 15:31:43,15,216,0
3556193504,2016/9/8 15:31:44,18,214,0
3556193505,2016/9/8 15:31:45,15,202,0
3556193506,2016/9/8 15:31:46,18,207,0
3556193507,2016/9/8 15:31:47,15,211,0
3556193508,2016/9/8 15:31:48,16,222,0
3556193509,2016/9/8 15:31:49,21,216,0
3556193510,2016/9/8 15:31:50,17,225,0
3556193511,2016/9/8 15:31:51,18,215,0
3556193512,2016/9/8 15:31:52,17,209,0
3556193513,2016/9/8 15:31:53,19,210,0
3556193514,2016/9/8 15:31:54,17,244,0
3556193515,2016/9/8 15:31:55,17,209,0
3556193516,2016/9/8 15:31:56,20,210,0
3556193517,2016/9/8 15:31:57,19,215,0
3556193518,2016/9/8 15:31:58,15,215,0
3556193519,2016/9/8 15:31:59,17,213,0
3556193520,2016/9/8 15:32:0,18,227,0
3556193521,2016/9/8 15:32:1,19,206,0
3556193522,2016/9/8 15:32:2,17,216,0
3556193523,2016/9/8 15:32:3,16,229,0
3556193524,2016/9/8 15:32:4,19,231,0
3556193525,2016/9/8 15:32:5,20,230,0
3556193526,2016/9/8 15:32:6,15,215,0
3556193527,2016/9/8 15:32:7,17,240,0
3556193528,2016/9/8 15:32:8,22,207,0
3556193529,2016/9/8 15:32:9,17,226,0
3556193530,2016/9/8 15:32:10,17,253,0
3556193531,2016/9/8 15:32:11,16,2109,0
3556193548,2016/9/8 15:32:28,17,221,0
3556193549,2016/9/8 15:32:29,19,231,0
3556193550,2016/9/8 15:32:30,18,225,0
3556193551,2016/9/8 15:32:31,16,246,0
3556193552,2016/9/8 15:32:32,18,224,0
3556193553,2016/9/8 15:32:33,18,241,0
3556193554,2016/9/8 15:32:34,18,239,0
3556193555,2016/9/8 15:32:35,16,230,0
3556193556,2016/9/8 15:32:36,15,225,0
3556193557,2016/9/8 15:32:37,20,204,0
3556193558,2016/9/8 15:32:38,17,221,0
3556193559,2016/9/8 15:32:39,15,225,0
3556193560,2016/9/8 15:32:40,20,228,0
3556193561,2016/9/8 15:32:41,17,222,0
3556193562,2016/9/8 15:32:42,17,249,0
3556193563,2016/9/8 15:32:43,18,230,0
3556193564,2016/9/8 15:32:44,15,246,0
3556193565,2016/9/8 15:32:45,20,247,0
3556193566,2016/9/8 15:32:46,15,230,0
