Time [hr], Date, NAE
0,2016/10/1 0:00:00,65.2
1,2016/10/1 1:00:00,65.41667
2,2016/10/1 2:00:00,65.65667
3,2016/10/1 3:00:00,65.77818
4,2016/10/1 4:00:00,66.09167
5,2016/10/1 5:00:00,66.18833
6,2016/10/1 6:00:00,65.99083
7,2016/10/1 7:00:00,65.16667
8,2016/10/1 8:00:00,63.495
9,2016/10/1 9:00:00,60.14
10,2016/10/1 10:00:00,53.825
11,2016/10/1 11:00:00,49.20917
12,2016/10/1 12:00:00,47.90833
13,2016/10/1 13:00:00,51.07917
14,2016/10/1 14:00:00,52.79417
15,2016/10/1 15:00:00,55.5925
16,2016/10/1 16:00:00,57.44333
17,2016/10/1 17:00:00,58.66667
18,2016/10/1 18:00:00,60.03
19,2016/10/1 19:00:00,60.74909
20,2016/10/1 20:00:00,61.595
21,2016/10/1 21:00:00,63.00833
22,2016/10/1 22:00:00,63.8975
23,2016/10/1 23:00:00,64.103
24,2016/10/2 0:00:00,0
25,2016/10/2 1:00:00,0
26,2016/10/2 2:00:00,0
27,2016/10/2 3:00:00,0
28,2016/10/2 4:00:00,0
29,2016/10/2 5:00:00,0
30,2016/10/2 6:00:00,0
31,2016/10/2 7:00:00,0
32,2016/10/2 8:00:00,0
33,2016/10/2 9:00:00,0
34,2016/10/2 10:00:00,0
35,2016/10/2 11:00:00,0
36,2016/10/2 12:00:00,0
37,2016/10/2 13:00:00,0
38,2016/10/2 14:00:00,0
39,2016/10/2 15:00:00,0
40,2016/10/2 16:00:00,0
41,2016/10/2 17:00:00,0
42,2016/10/2 18:00:00,0
43,2016/10/2 19:00:00,0
44,2016/10/2 20:00:00,0
45,2016/10/2 21:00:00,0
46,2016/10/2 22:00:00,0
47,2016/10/2 23:00:00,0
