Time [hr], Date, NAE
0,2016/10/1 0:00:00,62.48364
1,2016/10/1 1:00:00,62.67
2,2016/10/1 2:00:00,62.84083
3,2016/10/1 3:00:00,62.9275
4,2016/10/1 4:00:00,63.025
5,2016/10/1 5:00:00,63.22909
6,2016/10/1 6:00:00,63.48
7,2016/10/1 7:00:00,63.65333
8,2016/10/1 8:00:00,63.10833
9,2016/10/1 9:00:00,62.2575
10,2016/10/1 10:00:00,61.4775
11,2016/10/1 11:00:00,61.61909
12,2016/10/1 12:00:00,62.12
13,2016/10/1 13:00:00,62.57917
14,2016/10/1 14:00:00,62.3225
15,2016/10/1 15:00:00,62.18667
16,2016/10/1 16:00:00,63.3575
17,2016/10/1 17:00:00,64.11
18,2016/10/1 18:00:00,64.53333
19,2016/10/1 19:00:00,64.83167
20,2016/10/1 20:00:00,0
21,2016/10/1 21:00:00,0
22,2016/10/1 22:00:00,0
23,2016/10/1 23:00:00,0
