Clock,2016/1,2016/2,2016/3,2016/4,2016/5,2016/6,2016/7,2016/8,2016/9,2016/10,2016/11,2016/12
0,0,0,0,0,0,0,0,0,1.753511,0,0,0
1,0,0,0,0,0,0,0,0,1.190175,0,0,0
2,0,0,0,0,0,0,0,0,0.6340938,0,0,0
3,0,0,0,0,0,0,0,0,0.6236364,0,0,0
4,0,0,0,0,0,0,0,0,0.6372028,0,0,0
5,0,0,0,0,0,0,0,0,0.6309848,0,0,0
6,0,0,0,0,0,0,0,0,19.26139,0,0,0
7,0,0,0,0,0,0,0,0,230.6738,0,0,0
8,0,0,0,0,0,0,0,0,477.7733,0,0,0
9,0,0,0,0,0,0,0,0,678.9885,0,0,0
10,0,0,0,0,0,0,0,0,823.9115,0,0,0
11,0,0,0,0,0,0,0,0,797.2497,0,0,0
12,0,0,0,0,0,0,0,0,683.5673,0,0,0
13,0,0,0,0,0,0,0,0,625.7126,0,0,0
14,0,0,0,0,0,0,0,0,571.2792,0,0,0
15,0,0,0,0,0,0,0,0,454.0473,0,0,0
16,0,0,0,0,0,0,0,0,297.1893,0,0,0
17,0,0,0,0,0,0,0,0,208.1433,0,0,0
18,0,0,0,0,0,0,0,0,48.92875,0,0,0
19,0,0,0,0,0,0,0,0,0.7221474,0,0,0
20,0,0,0,0,0,0,0,0,0.9601894,0,0,0
21,0,0,0,0,0,0,0,0,0.627028,0,0,0
22,0,0,0,0,0,0,0,0,0.6307022,0,0,0
23,0,0,0,0,0,0,0,0,1.037279,0,0,0
